BUBBLE_SORT_50000,BUBBLE_SORT_100000,BUBBLE_SORT_150000,BUBBLE_SORT_200000,BUBBLE_SORT_250000,BUBBLE_SORT_300000,INSERTION_SORT_50000,INSERTION_SORT_100000,INSERTION_SORT_150000,INSERTION_SORT_200000,INSERTION_SORT_250000,INSERTION_SORT_300000,SELECTION_SORT_50000,SELECTION_SORT_100000,SELECTION_SORT_150000,SELECTION_SORT_200000,SELECTION_SORT_250000,SELECTION_SORT_300000,QUICK_SORT_50000,QUICK_SORT_100000,QUICK_SORT_150000,QUICK_SORT_200000,QUICK_SORT_250000,QUICK_SORT_300000,HEAP_SORT_50000,HEAP_SORT_100000,HEAP_SORT_150000,HEAP_SORT_200000,HEAP_SORT_250000,HEAP_SORT_300000
10.703658,42.971071,97.645279,172.594701,270.77666,389.9376,1.624688,6.416114,14.45411,25.668683,40.003737,57.652987,2.524525,10.072185,22.676363,40.273117,62.921839,90.612499,0.013383,0.041083,0.035778,0.044487,0.061139,0.065127,0.015369,0.026874,0.057474,0.054888,0.06536,0.080754
10.645265,43.036076,96.971435,173.376832,270.54688,389.997138,1.624751,6.397353,14.390018,25.634028,39.976368,57.702261,2.53288,10.091023,22.649808,40.197811,62.959031,90.611538,0.011342,0.046965,0.036045,0.044936,0.049657,0.064938,0.015383,0.03016,0.042956,0.077654,0.071737,0.090897
10.683796,43.366711,97.199073,173.146706,270.648182,389.687579,1.61641,6.419847,14.451877,25.638483,40.059066,57.679415,2.53238,10.109364,22.688992,40.276696,62.942206,90.949972,0.012929,0.022068,0.0344,0.067426,0.056131,0.089512,0.016453,0.031143,0.044026,0.052875,0.069449,0.080238
10.681255,43.331556,97.314388,173.3928,270.755715,390.355695,1.604901,6.411758,14.39531,25.659461,40.021023,57.498354,2.526337,10.055203,22.671991,40.276927,62.912638,90.551345,0.031145,0.025487,0.033152,0.042247,0.054629,0.080909,0.015279,0.053421,0.044721,0.05614,0.065511,0.083508
10.672771,43.244116,97.466159,173.336044,270.454019,390.163875,1.603601,6.41657,14.432378,25.61189,40.087129,57.716768,2.528623,10.105436,22.700311,40.167838,62.870892,91.058673,0.012507,0.024534,0.035147,0.047531,0.070222,0.06238,0.015931,0.030375,0.060174,0.057553,0.069094,0.085163
10.660044,43.338937,97.247402,173.313141,270.798152,390.027575,1.609675,6.414917,14.40855,25.546128,40.064936,57.521683,2.551304,10.09255,22.691603,40.19803,62.901938,90.857189,0.012423,0.049404,0.033426,0.044537,0.076109,0.063737,0.015736,0.032261,0.056937,0.059201,0.069163,0.085314
10.66765,43.304798,97.455589,173.314165,270.360523,390.266334,1.598381,6.415787,14.441953,25.624905,39.93426,57.756628,2.530945,10.107992,22.634559,40.233668,62.917824,90.342131,0.011329,0.041668,0.052813,0.040499,0.054787,0.065594,0.014989,0.030147,0.042885,0.05515,0.085857,0.099786
10.672359,43.24892,97.452356,173.263654,270.713173,390.052402,1.606975,6.430779,14.461392,25.628036,40.07835,57.761381,2.528436,10.105568,22.616514,40.310636,62.885537,90.607885,0.013055,0.020427,0.033868,0.043448,0.055379,0.062502,0.015187,0.032018,0.044863,0.054952,0.066372,0.081539
10.640214,43.250052,97.631268,173.425119,270.61153,389.958057,1.595609,6.41853,14.390811,25.572277,40.070791,57.656565,2.536497,10.092401,22.631698,40.292329,62.946004,90.392008,0.016283,0.023869,0.035112,0.041403,0.054654,0.065469,0.015403,0.027804,0.043651,0.057197,0.076037,0.088761
10.671845,43.284378,97.431999,173.102536,270.941198,389.701398,1.607496,6.408961,14.378959,25.612247,40.058359,57.645953,2.528247,10.094175,22.657511,40.314417,62.984244,91.233652,0.012851,0.024954,0.034085,0.046249,0.057234,0.08634,0.016044,0.047559,0.061609,0.056211,0.069518,0.087151
10.688047,43.371807,97.332667,173.100359,270.808365,390.249643,1.612356,6.399844,14.431683,25.69282,40.024671,57.654547,2.530482,10.069789,22.696888,40.150959,62.950861,90.729364,0.01271,0.024072,0.057864,0.04458,0.077974,0.073819,0.036994,0.025076,0.066897,0.054016,0.070994,0.080943
10.631487,43.285892,97.451245,173.468323,270.940202,390.552833,1.596607,6.408496,14.379497,25.606336,40.172459,57.674189,2.522394,10.083898,22.688412,40.213536,62.918722,90.667201,0.012434,0.023267,0.051713,0.041692,0.070413,0.06248,0.016488,0.029871,0.041504,0.056151,0.06883,0.081856
10.662725,43.246298,97.315017,173.603396,270.553013,391.076845,1.61455,6.387524,14.410792,25.596043,40.320582,57.669235,2.527887,10.076528,22.682246,40.253668,62.945788,90.677112,0.031385,0.023891,0.034277,0.068165,0.054963,0.065078,0.015733,0.03046,0.044124,0.072661,0.08619,0.104497
10.680809,43.229659,97.268923,172.440947,270.908841,389.822851,1.614582,6.384011,14.41388,25.670569,40.457014,57.770672,2.53603,10.093243,22.686427,40.215425,62.97472,90.617824,0.011787,0.019863,0.035634,0.042682,0.054684,0.066112,0.015639,0.02908,0.045645,0.052284,0.083343,0.085793
10.680085,43.200684,97.41259,173.241982,270.455684,389.890735,1.60149,6.438606,14.435452,25.519257,40.278052,57.685189,2.52855,10.106422,22.683648,40.300445,63.023274,90.610377,0.011928,0.02407,0.034293,0.041427,0.050467,0.06456,0.035282,0.047731,0.057411,0.057899,0.071751,0.079422
10.673217,43.286043,97.531561,172.864471,270.933344,389.644283,1.598171,6.41367,14.387723,25.618152,40.513023,57.680342,2.522537,10.090144,22.6868,40.303908,62.962732,90.61202,0.013105,0.024513,0.034345,0.044267,0.053509,0.079299,0.034047,0.031612,0.066937,0.054204,0.067746,0.086373
10.64011,43.293463,97.202324,173.419188,270.845978,389.772689,1.613186,6.409755,14.393634,25.611454,39.984684,57.669973,2.532438,10.078682,22.688065,40.293434,63.032906,90.620547,0.011617,0.047361,0.050071,0.040358,0.075612,0.05917,0.01478,0.031768,0.0649,0.056847,0.069127,0.083243
10.67243,43.401763,97.298489,173.145211,270.74884,389.68914,1.632891,6.40905,14.431739,25.597099,40.082086,57.81092,2.532342,10.096988,22.69071,40.314489,62.955369,90.616226,0.011247,0.023068,0.033427,0.042077,0.063949,0.065464,0.015958,0.030489,0.044994,0.056655,0.087332,0.0831
10.630316,43.319643,97.408863,173.308374,270.67766,390.115728,1.627957,6.406666,14.386736,25.58826,40.011352,57.763114,2.534635,10.099458,22.660776,40.291953,62.889686,90.662221,0.011607,0.023802,0.034451,0.042273,0.055131,0.064722,0.016291,0.030399,0.056434,0.080211,0.070869,0.08335
10.675687,43.328246,97.336331,173.402692,271.020909,389.993862,1.626017,6.414101,14.390829,25.599722,40.418069,57.508637,2.526453,10.080234,22.664287,40.246909,62.886449,90.612185,0.013418,0.023877,0.03523,0.050282,0.05173,0.062656,0.036833,0.030564,0.043827,0.052183,0.071208,0.106145
10.633632,43.282954,97.310217,173.336115,270.62776,390.105645,1.630045,6.388581,14.404217,25.572562,40.01995,57.610175,2.527813,10.084825,22.686382,40.309134,62.975505,90.644002,0.013186,0.022985,0.034649,0.045492,0.054553,0.063724,0.01527,0.024441,0.043747,0.055187,0.068124,0.100546
10.651963,43.248512,97.442433,173.44696,271.145532,390.212392,1.613904,6.409748,14.428628,25.578039,40.032195,57.640647,2.530869,10.050963,22.628597,40.192552,63.028783,90.577657,0.011871,0.04529,0.052647,0.039761,0.055689,0.062055,0.016405,0.030301,0.043285,0.057405,0.070243,0.099786
10.669086,43.266139,97.178538,173.174475,270.95083,389.849858,1.61208,6.40424,14.461502,25.615621,40.106455,57.658764,2.522216,10.092825,22.62186,40.289646,62.727501,90.57901,0.009426,0.02364,0.032478,0.043104,0.054527,0.077487,0.015817,0.030085,0.041724,0.056991,0.069717,0.091039
10.609264,43.283341,97.474879,173.262762,270.414742,389.958382,1.599839,6.40609,14.378559,25.607873,40.661023,57.691617,2.524315,10.095464,22.677551,40.28769,62.837767,90.661111,0.013242,0.023471,0.035986,0.042864,0.054773,0.064951,0.016525,0.02959,0.058251,0.058795,0.09204,0.083897
10.624793,43.275726,97.46731,173.322625,270.520425,389.902737,1.623945,6.421006,14.431295,25.702839,40.061553,57.663979,2.538047,10.099573,22.66345,40.266554,62.901269,90.625309,0.013784,0.020866,0.03502,0.042822,0.05466,0.061978,0.016212,0.050008,0.041193,0.055077,0.091979,0.088301
